wmoid	name	prov	lon	lat	high	mlowt	std1	hightsev	std2	hight	lowt	mrain	
56227	波密	西藏	95.77	29.87	7736	-14	2	26	2	30	-18	963.6	
56247	巴塘	四川	99.1	30	2589.2	-11	2	32	2	36	-15	556.5	
56251	新龙	四川	100.32	30.93	8000	-18	1	28	2	32	-20	628	
56257	理塘	四川	100.27	30	3948.9	-23	4	20	1	22	-31	689.2	
56287	雅安	四川	103	29.98	627.6	-2	2	33	1	35	-6	1435.1	
56294	成都	四川	104.02	30.67	506.1	-4	1	33	1	35	-6	870.5	
56312	林芝	西藏	94.47	29.57	8000	-12	1	25	1	27	-14	701.8	
56357	稻城	四川	100.3	29.05	8727.7	-22	2	22	1	24	-26	693.3	
56374	康定	四川	101.97	30.05	2615.7	-12	2	23	1	25	-16	1010.2	
56385	峨眉山	四川	103.33	29.52	8047.4	-17	2	18	1	20	-21	1820.8	
56386	乐山	四川	103.75	29.57	424.2	-1	2	34	1	36	-5	1288.9	
56444	德钦	云南	98.88	28.45	3485	-11	1	20	1	22	-13	775	
56459	木里	四川	100.83	28.13	7666.6	-7	2	28	2	32	-11	946	
56462	九龙	四川	101.5	29	7987.3	-13	2	25	2	29	-17	835	
56475	越西	四川	102.52	28.65	1659	-6	1	30	1	32	-8	1042.7	
56479	昭觉	四川	102.85	28	2132.4	-9	3	27	1	29	-15	1154.6	
56485	雷波	四川	103.58	28.27	1474.9	-6	2	29	1	31	-10	857.2	
56492	宜宾	四川	104.6	28.8	340.8	1	2	35	1	37	-3	1537.1	
56533	贡山	云南	98.67	27.75	6591.3	-2	1	30	1	32	-4	1590.2	
56543	中甸	云南	99.7	27.83	3276.1	-20	3	21	1	23	-26	736.2	
56548	维西	云南	99.28	27.17	2325.6	-6	1	27	1	29	-8	1168.2	
56565	盐源	四川	101.52	27.43	7545	-7	2	27	2	31	-11	863.1	
56571	西昌	四川	102.27	27.9	1590.9	-2	2	32	2	36	-6	1037.1	
56586	昭通	云南	103.72	27.35	1949.5	-8	2	28	1	30	-12	619.7	
56651	丽江	云南	100.22	26.87	2393.2	-6	1	27	2	31	-8	1209.8	
56664	华坪	云南	101.27	26.63	6244.8	1	1	36	2	40	-1	1072.7	
56671	会理	四川	102.25	26.65	1787.1	-4	1	29	2	33	-6	1300.4	
56684	会泽	云南	103.28	26.42	2109.5	-8	3	27	1	29	-14	808.6	
56691	威宁	贵州	104.28	26.87	2237.5	-9	2	25	1	27	-13	623.9	
56739	腾冲	云南	98.5	25.02	1654.6	-3	1	27	1	29	-5	1424.8	
56741	泸水	云南	98.82	25.98	1804.9	2	1	27	1	29	0	1107.6	
56748	保山	云南	99.17	25.12	1653.5	-2	2	28	1	30	-6	920.3	
56751	大理	云南	100.18	25.7	1990.5	-3	1	28	2	32	-5	1040.1	
56763	元谋	云南	101.87	25.73	1120.2	2	2	37	2	41	-2	660.2	
56768	楚雄	云南	101.53	25.02	1772	-3	2	29	1	31	-7	867.4	
56778	昆明	云南	102.68	25.02	1891.4	-3	2	27	1	29	-7	999.6	
56786	沾益	云南	103.83	25.58	1898.7	-5	2	28	1	30	-9	867.1	
56793	盘县	贵州	104.62	25.78	1515.2	-4	2	30	1	32	-8	1247.3	
56838	瑞丽	云南	97.85	24.02	776.6	3	1	32	2	36	1	1461.4	
56856	景东	云南	100.87	24.47	1162.3	0	1	32	2	36	-2	1131.7	
56875	玉溪	云南	102.55	24.35	1636.7	-3	2	29	1	31	-7	899.9	
56886	泸西	云南	103.77	24.53	1704.3	-5	2	29	2	33	-9	977.8	
56951	临沧	云南	100.08	23.88	1502.4	1	1	29	2	33	-1	918.1	
56954	澜沧	云南	99.93	22.57	1054.8	2	1	32	2	36	0	1461	
56959	景洪	云南	100.8	22	552.7	6	2	35	2	39	2	1225.1	
56964	思茅	云南	100.97	22.78	1302.1	2	2	30	2	34	-2	1429.4	
56966	元江	云南	101.98	23.6	400.9	6	2	38	1	40	2	773	
56969	勐腊	云南	101.57	21.48	631.9	6	2	33	2	37	2	1401.1	
56977	江城	云南	101.85	22.58	1119.5	3	2	29	2	33	-1	2291.1	
56985	蒙自	云南	103.38	23.38	1300.7	0	2	32	1	34	-4	695.3	
56986	屏边	云南	103.68	22.98	1414.1	1	2	28	1	30	-3	1565.8	
56994	文山州	云南	104.25	23.38	1271.6	0	2	31	1	33	-4	1276.1	
57006	天水	甘肃	105.75	34.58	1141.7	-14	2	32	2	36	-18	538.7	
57016	宝鸡	陕西	107.13	34.35	612.4	-10	2	35	1	37	-14	872.4	
57034	武功	陕西	108.22	34.25	447.8	-12	3	35	1	37	-18	650.4	
57036	西安	陕西	108.93	34.3	397.5	-11	3	36	1	38	-17	377.4	
57046	华山	陕西	110.08	34.48	2064.9	-20	2	24	1	26	-24	887.5	
57051	三门峡	河南	111.2	34.8	410.1	-11	2	35	2	39	-15	511.5	
57067	卢氏	河南	111.03	34.05	568.8	-14	2	34	2	38	-18	592.8	
57071	孟津	河南	112.43	34.83	323.3	-12	2	35	2	39	-16	730.6	
57077	栾川	河南	111.6	33.78	750.1	-13	2	33	1	35	-17	901.3	
57083	郑州	河南	113.65	34.72	110.4	-12	2	35	2	39	-16	478.7	
57089	许昌	河南	113.85	34.02	66.8	-11	2	36	2	40	-15	952.7	
57091	开封	河南	114.38	34.77	72.5	-12	2	35	1	37	-16	731.7	
57106	略阳	陕西	106.15	33.32	794.2	-9	1	33	2	37	-11	683.5	
57127	汉中	陕西	107.03	33.07	508.4	-7	1	33	2	37	-9	962.4	
57134	佛坪	陕西	107.98	33.53	1087.7	-10	2	32	2	36	-14	801.9	
57143	尚州	陕西	109.97	33.87	742.2	-11	2	34	2	38	-15	792	
57144	镇安	陕西	109.15	33.43	693.7	-10	2	33	2	37	-14	853.6	
57156	西峡	河南	111.5	33.3	250.3	-9	2	35	1	37	-13	971.6	
57178	南阳	河南	112.58	33.03	129.2	-10	3	35	2	39	-16	819.5	
57181	宝丰	河南	113.05	33.88	136.4	-12	2	35	2	39	-16	740.2	
57193	西华	河南	114.52	33.78	52.6	-12	3	35	2	39	-18	645.6	
57206	广元	四川	105.85	32.43	492.4	-5	1	34	1	36	-7	787	
57232	石泉	陕西	108.27	33.05	484.9	-7	2	35	2	39	-11	831.2	
57237	万源	四川	108.03	32.07	674	-6	2	34	1	36	-10	1158	
57245	安康	陕西	109.03	32.72	290.8	-6	2	37	2	41	-10	901.4	
57259	房县	湖北	110.73	32.05	434.4	-9	3	35	2	39	-15	768.2	
57265	老河口	湖北	111.67	32.38	90	-9	3	36	1	38	-15	943.7	
57279	枣阳	湖北	112.75	32.15	125.5	-9	2	36	1	38	-13	691	
57290	驻马店	河南	114.02	33	82.7	-12	3	36	2	40	-18	1189	
57297	信阳	河南	114.05	32.13	114.5	-10	3	35	2	39	-16	961.3	
57306	阆中	四川	105.97	31.58	382.6	-2	1	35	1	37	-4	1098	
57313	巴中	四川	106.77	31.85	358.9	-3	1	35	1	37	-5	1296.6	
57328	达县	四川	107.5	31.2	310.4	-2	2	36	1	38	-6	1193.5	
57348	奉节	重庆	109.5	31.05	607.3	-3	2	36	1	38	-7	1318.4	
57355	巴东	湖北	110.4	31.07	294.5	-3	2	37	1	39	-7	1082.7	
57378	钟祥	湖北	112.57	31.17	65.8	-7	2	35	1	37	-11	959.8	
